plot_id,day,crop_type,crop_day,temperature_c,humidity_pct,rainfall_mm,soil_moisture_pct,et_loss,needs_irrigation,water_amount_mm,next_day_moisture
1,0,Cotton,1,31.24,77.85,0.0,43.38,1.12,0,0.0,43.01
1,1,Cotton,2,29.4,70.16,0.96,43.01,1.14,0,0.0,41.92
1,2,Cotton,3,25.65,63.14,0.0,41.92,1.1,0,0.0,40.66
1,3,Cotton,4,25.14,41.14,0.0,40.66,1.25,0,0.0,39.95
1,4,Cotton,5,19.38,46.57,0.39,39.95,1.02,0,0.0,38.7
1,5,Cotton,6,25.86,43.86,0.0,38.7,1.26,0,0.0,37.21
1,6,Cotton,7,35.33,51.61,0.0,37.21,1.49,0,0.0,35.65
1,7,Cotton,8,40.8,60.91,0.0,35.65,1.56,1,5.22,39.85
1,8,Cotton,9,22.25,60.64,0.0,39.85,1.01,0,0.0,38.82
1,9,Cotton,10,25.0,69.21,0.0,38.82,1.03,0,0.0,37.9
1,10,Cotton,11,24.99,82.78,0.0,37.9,0.92,0,0.0,39.39
1,11,Cotton,12,25.33,54.92,3.3,39.39,1.15,0,0.0,37.86
1,12,Cotton,13,32.11,36.69,0.0,37.86,1.53,0,0.0,36.41
1,13,Cotton,14,41.89,72.9,0.0,36.41,1.46,0,0.0,35.08
1,14,Cotton,15,31.69,57.57,0.0,35.08,1.32,1,5.9,39.73
1,15,Cotton,16,22.95,31.25,0.0,39.73,1.25,0,0.0,38.7
1,16,Cotton,17,25.7,70.86,0.0,38.7,1.03,0,0.0,39.04
1,17,Cotton,18,22.35,57.02,1.74,39.04,1.04,0,0.0,37.99
1,18,Cotton,19,24.62,64.18,0.0,37.99,1.06,0,0.0,37.68
1,19,Cotton,20,30.91,68.32,1.11,37.68,1.2,0,0.0,38.52
1,20,Cotton,21,23.8,50.36,2.48,38.52,1.14,0,0.0,37.63
1,21,Cotton,22,20.46,71.49,0.0,37.63,0.89,0,0.0,37.33
1,22,Cotton,23,22.47,37.06,1.12,37.33,1.19,0,0.0,36.01
1,23,Cotton,24,32.17,59.45,0.0,36.01,1.32,0,0.0,35.73
1,24,Cotton,25,29.81,45.32,1.36,35.73,1.37,1,5.13,39.44
1,25,Cotton,26,35.48,60.07,0.0,39.44,1.41,0,0.0,38.69
1,26,Cotton,27,14.9,67.33,0.0,38.69,0.76,0,0.0,37.78
1,27,Cotton,28,20.91,70.64,0.0,37.78,0.9,0,0.0,36.63
1,28,Cotton,29,26.9,60.36,0.0,36.63,1.15,0,0.0,35.6
1,29,Cotton,30,24.05,66.16,0.0,35.6,1.03,1,5.28,42.76
1,30,Cotton,31,23.96,47.47,3.81,42.76,1.17,0,0.0,43.69
1,31,Cotton,32,30.51,72.37,2.6,43.69,1.15,0,0.0,44.97
1,32,Cotton,33,25.35,62.7,2.96,44.97,1.09,0,0.0,45.98
1,33,Cotton,34,34.86,57.63,3.03,45.98,1.42,0,0.0,44.82
1,34,Cotton,35,24.49,50.09,0.0,44.82,1.16,0,0.0,45.3
1,35,Cotton,36,34.37,50.62,2.44,45.3,1.47,0,0.0,44.04
1,36,Cotton,37,28.03,51.48,0.0,44.04,1.26,0,0.0,42.83
1,37,Cotton,38,26.02,50.66,0.0,42.83,1.21,0,0.0,41.67
1,38,Cotton,39,27.19,61.06,0.0,41.67,1.16,0,0.0,45.25
1,39,Cotton,40,23.28,76.06,5.64,45.25,0.93,0,0.0,44.31
1,40,Cotton,41,18.41,54.6,0.0,44.31,0.94,0,0.0,43.01
1,41,Cotton,42,28.51,48.51,0.0,43.01,1.3,0,0.0,41.84
1,42,Cotton,43,27.04,59.52,0.0,41.84,1.17,0,0.0,40.56
1,43,Cotton,44,29.7,54.89,0.0,40.56,1.29,0,0.0,39.26
1,44,Cotton,45,33.71,66.28,0.0,39.26,1.3,0,0.0,38.71
1,45,Cotton,46,23.99,75.76,0.5,38.71,0.95,0,0.0,37.68
